0,keywords,amount
1,excel,610,
2,sql,558
3,degree,497
4,reports,426
5,ssis,340
6,database,327
7,power bi,316
8,python,310
9,tableau,280
10,senior,235
11,git,192
12,data mining,190
13,business intelligence,166
14,agile,107
15,data warehouse,105
